"Gene_name","Size","nes","TF_Pval","TF_Pval_fdr","TF_logFC","NR_TF_activity","R_TF_activity","delta_TF_activity","logFC_expression","P.Value_expression","P.Value_promoter_methylation","NR_Promoter_Methylation","R_Promoter_Methylation","delta_promoter_methylation","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","Nb_enhancers_changed"
"GNG12-AS1",0,0,1,1,0,0,0,0,0,1,0.150453859850545,0.360382185679579,0.32097570431208,0.0394064813674991,0,0,16,16,0
"GNG13",0,0,1,1,0,0,0,0,0,0.731595188430398,0.193167072005047,0.615852822133587,0.594976680531707,0.0208761416018808,0,0,0,0,0
"GNG2",0,0,1,1,0,0,0,0,-5.02431676396255,0.718762368092666,0.580103118627074,0.44429544596707,0.427496699769273,0.016798746197797,0,0,3,3,0
"GNG3",0,0,1,1,0,0,0,0,-1.86534652186258,0.308951589121633,0.0334249903488739,0.466105405898546,0.433577046436514,0.0325283594620326,0,0,3,3,0
"GNG4",0,0,1,1,0,0,0,0,0.0841050083081232,0.509731115417933,0.00296089623955984,0.405928177112225,0.33069451770669,0.0752336594055342,1,0,1,2,1
"GNG5",0,0,1,1,0,0,0,0,-6.62707605705538,0.0547257176006991,0.235016594548636,0.0653051512673352,0.0590372274183069,0.00626792384902836,0,1,23,24,1
"GNG7",0,0,1,1,0,0,0,0,1.7418898768415,0.89206248518251,0.0823437332527111,0.445719687008135,0.428940554026128,0.016779132982007,0,0,0,0,0
"GNG8",0,0,1,1,0,0,0,0,-1.72726548874911,0.457999296303656,0.00435220305880658,0.3362653138012,0.260925756154968,0.0753395576462312,0,0,1,1,0
"GNGT1",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"GNGT2",0,0,1,1,0,0,0,0,0.526191524923812,0.955875726164449,0.903820407514362,0.505380962956847,0.510298361428255,-0.00491739847140771,0,0,0,0,0
"GNL1",0,0,1,1,0,0,0,0,4.62225044721723,0.730841375611929,0.00238399789612916,0.386450165895995,0.354731116154756,0.031719049741239,0,0,1,1,0
