"","p.value_activities","Non_reponder.mean of x","Responder.mean of y"
"NFE2L2",0.589933938036665,-0.093982125480838,0.187579797349717
"NFIC",0.23045234843142,-0.0770671225403217,0.569439849754719
"NFKB1",0.630053655827501,-0.244054528573553,0.215490638835024
"NFKB2",0.0939199146829997,0.363745347033981,-0.305239812394444
"NFYA",0.534016640859384,-0.132423891889442,0.128313427938267
"NR2F2",0.466268538226209,0.01078880405018,0.284889880274649
"NR3C1",0.642225283387311,-0.00154800693581427,0.178761196153817
"NR5A1",0.492132123387062,0.149112869951777,-0.166911781563371
"PAX6",0.264567989813054,-0.0259967421254633,0.340945617528009
"PAX8",0.849006278425764,-0.180371749788825,-0.106305940685944
"PGR",0.174318536787003,-0.377193023131982,0.203007747851742
"POU2F1",0.872411312200378,0.0983842792557237,0.0320153796687428
"PPARA",0.595555635829824,0.0224210633422543,-0.215062122181887
"PPARG",0.362103972275901,0.28024963163008,-0.221768785877119
"PRDM14",0.74123736797167,0.0155951411582436,-0.22112393928584
"RARA",0.576370387241018,-0.13804602137613,0.149663543203998
"REL",0.556567726379517,-0.102001059302745,0.173852751455221
"RELA",0.782506635253598,-0.228254543046963,0.00671761981746992
"RELB",0.447533314468502,-0.421131631642495,-0.0381682447155897
"REST",0.426346737444581,0.0367178094069513,-0.221091569723899
"RFX5",0.855503438211005,-0.128035913090813,0.123153927802854
"RFXANK",0.928104581563665,-0.0476831293557146,0.0779703600308536
"RFXAP",0.928104581563665,-0.0476831293557146,0.0779703600308536
"RUNX1",0.260653421253425,0.42491727213105,-0.531686748530818
"RUNX3",0.687559404868029,-0.324296619466073,-0.122837524432313
"RXRA",0.176511186828311,-0.242382120200796,0.454334123962273
"SMAD3",0.736788270319625,-0.154946790712103,-0.00598604442264948
"SMAD4",0.209964064135211,0.377944199143992,-0.183324549522742
"SOX10",0.571183723015577,-0.185019439661319,0.0831959079505299
"SOX2",0.300561563559975,-0.668643522228935,0.203246597705277
"SOX9",0.176771269073429,0.355306486524924,-0.178678030152789
"SP1",0.847377363675968,0.160361014509798,0.312009554610432
"SP3",0.309651641766498,0.200433877202391,-0.087494863413342
"SPI1",0.716713464871806,-0.0677213050578013,0.320393878424355
"SREBF1",0.687939860459912,-0.0428150602905263,0.146180354897115
"SREBF2",0.799893945253714,-0.00475200138710005,0.136487762644169
"SRF",0.183945007989321,-0.270040793610084,0.265155493106773
"STAT1",0.975955125241787,-0.763928356149111,-0.732002939202258
"STAT2",0.981679746780351,-0.566080183269361,-0.537821284030865
"STAT3",0.400878562226409,-0.378172401673714,-0.0266074527510374
"STAT4",0.723828085828498,-0.0952292816719847,0.100578216826629
"STAT5A",0.346165575824162,-0.104002041608383,0.354293357508953
"STAT5B",0.363981599430716,-0.22516907295093,0.28925827068582
"STAT6",0.810890508281062,-0.176844527587979,-0.025643652479551
"TAL1",0.0209631022451891,-0.370104735270152,0.384719204841319
"TCF3",0.589950427195864,0.148108631064507,-0.0969441211394545
"TCF7L2",0.616964879224257,-0.174129160490837,-0.329024926137418
"TFAP2A",0.405946994558185,-0.0222293222438994,0.323164917094767
"TFAP2C",0.596315181721783,-0.222167976809543,-0.0434078897314679
"TFDP1",0.310325403481305,-0.489137925149511,-0.016623502485724
"TP53",0.692831537246202,-0.249132036674807,-0.038421916951101
"TP63",0.541830228747666,0.0429950697262554,0.255776725492992
"TWIST1",0.744741263055114,-0.0230728468903486,-0.177857041309033
"USF1",0.0293409713473378,-0.298692682392019,0.779998950009859
"USF2",0.0327789929972989,-0.397862014153413,0.866902175184681
"VDR",0.750387142809727,-0.0532769863555286,-0.144920961611208
"WT1",0.983731381260766,-0.117889165714799,-0.110760190858363
"YY1",0.696403952474011,0.153480083476582,-0.096201538273035
"ZBTB33",0.827013094583564,-0.158831226738248,-0.066289624259681
"ZEB1",0.424465347447197,0.318823403312716,0.0960478626974761
"ZNF263",0.77833457890753,-0.202408638006959,0.077695088806223
