"Row.names","p.value_activities","Non_reponder_mean.mean of x","Responder.mean of y","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MTMR15",1,0,0,0.17274405925823,6.57589849372158,0.867596659280199,0.395149555426914,0.977208286870888,-4.61864096889663
"MTMR2",1,0,0,-0.217995850397824,5.32232101416045,-1.03500457394436,0.312113191836848,0.977208286870888,-4.59587920387185
"MTMR3",1,0,0,0.108488847982871,7.53000406596675,0.531531096925999,0.600473695495032,0.977208286870888,-4.65336522191296
"MTMR4",1,0,0,0.0916505632784537,5.92627322059451,0.619748174273611,0.541905062047284,0.977208286870888,-4.64574821337489
"MTMR6",1,0,0,-0.0180746655157709,4.63722678190849,-0.110793426979601,0.912802925072108,0.987987447866578,-4.67395639399778
"MTMR7",1,0,0,1.06639962606764,2.14449646670179,3.02179320006904,0.0063536414949202,0.977208286870888,-4.16849381365715
"MTMR8",1,0,0,-0.528507396942201,1.83571177983739,-0.563997888566775,0.578563705730366,0.977208286870888,-4.65069021604108
"MTMR9",1,0,0,0.896081128712747,-6.97618924213624,1.90158936857437,0.0706436499552491,0.977208286870888,-4.43333954698441
"MTMR9L",1,0,0,0.241478342993238,4.14413548545708,1.36477104971388,0.186370865254207,0.977208286870888,-4.54181692219544
"MTNR1A",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964
"MTNR1B",1,0,0,0.352101110818989,-7.42396993243861,1.08138171478407,0.291450237286219,0.977208286870888,-4.58898423943249
"MTO1",1,0,0,0.0649143037412001,5.22390412740868,0.35812640675264,0.723723954676048,0.977208286870888,-4.66506145544813
"MTOR",1,0,0,0.410477977510866,7.57631891027424,2.61491260387244,0.0159532692099336,0.977208286870888,-4.26687762367943
"MTP18",1,0,0,0.0760517041259572,1.73906881812935,0.153221321901667,0.87964577730353,0.98404863867026,-4.67309344233701
"MTPAP",1,0,0,-0.0182701495336284,5.46389760943845,-0.0897563114188354,0.929307736190483,0.99055892376396,-4.6742816325385
"MTR",1,0,0,0.296169156892671,5.99820726353643,1.64110374842224,0.11525416869674,0.977208286870888,-4.48860873134699
"MTRF1",1,0,0,0.206549723162233,3.67129777645573,1.36654684281439,0.18582147694356,0.977208286870888,-4.54149604418168
"MTRF1L",1,0,0,0.0896507644097291,7.89990548514089,0.431982906986734,0.670034375263081,0.977208286870888,-4.6606191725554
"MTRR",1,0,0,-0.17083120253467,2.74781653652284,-0.658919698943143,0.516908946752174,0.977208286870888,-4.64201572229249
"MTSS1",1,0,0,-0.104278766312859,3.5527363602627,-0.238862071295375,0.813463679152941,0.977208286870888,-4.67051157928373
"MTSS1L",1,0,0,0.295267361875348,4.76644112788653,0.523155859501994,0.606190249375495,0.977208286870888,-4.65403079917452
"MTTP",1,0,0,0.40326971670211,-4.97234391250081,0.45923703346624,0.650650980229734,0.977208286870888,-4.65877661985616
"MTUS1",1,0,0,-0.445071877864768,-1.25431929306368,-0.353609670811526,0.727058619422857,0.977208286870888,-4.66530682048567
"MTUS2",1,0,0,-2.11172264681045,1.04975500794881,-1.78731185633483,0.0879253595655812,0.977208286870888,-4.45811045413981
"MTVR2",1,0,0,-0.277247273046522,-7.11396320113594,-0.760708537156575,0.455053716997498,0.977208286870888,-4.63133511373514
"MTX1",1,0,0,-0.128785053309012,2.89662348094782,-0.755438035005625,0.458143370233985,0.977208286870888,-4.63192236864631
"MTX2",1,0,0,-0.144786154151578,3.79638706652037,-0.622599737517077,0.540063835275492,0.977208286870888,-4.64548369959429
"MTX3",1,0,0,-1.14097913806248,1.21923996196146,-1.27504387597173,0.215834992518753,0.977208286870888,-4.55763879809243
"MUC1",1,0,0,0.545586505812572,-7.32262043982292,1.03283353558011,0.313105232620106,0.977208286870888,-4.59619589820609
