"tf","target","mor","likelihood","state","mor_cytoscape"
"CEBPA","CPS1",0.364420748287887,1,"activation",0.364420748287887
"CEBPA","CREB1",-0.00515641538035181,1,"inhibition",0.00515641538035181
"CEBPA","CRMP1",0.295055894312094,1,"activation",0.295055894312094
"CEBPA","CSF1",-0.0204357417171991,1,"inhibition",0.0204357417171991
"CEBPA","CSF3R",0.573210535481118,1,"activation",0.573210535481118
"CEBPA","CSN2",0.556124808879436,1,"activation",0.556124808879436
"CEBPA","CSRP1",0.950211964174678,1,"activation",0.950211964174678
"CEBPA","CXCR2",-0.0517085025306544,1,"inhibition",0.0517085025306544
"CEBPA","CYP3A4",0.9854644802004,1,"activation",0.9854644802004
"CEBPA","CYP3A7",0.769117734476428,1,"activation",0.769117734476428
"CEBPA","E2F2",-0.0263066418550993,1,"inhibition",0.0263066418550993
"CEBPA","E2F3",-0.00425808972048566,1,"inhibition",0.00425808972048566
"CEBPA","EDN1",-0.721861799175056,1,"inhibition",0.721861799175056
"CEBPA","EHHADH",0.529712734566207,1,"activation",0.529712734566207
"CEBPA","ELANE",0.856048135858741,1,"activation",0.856048135858741
"CEBPA","ELN",0.632532287312349,1,"activation",0.632532287312349
"CEBPA","ENPP3",0.679366470271148,1,"activation",0.679366470271148
"CEBPA","EPO",0.544251963208377,1,"activation",0.544251963208377
"CEBPA","EPX",0.988537435611972,1,"activation",0.988537435611972
"CEBPA","F3",0.800886165742067,1,"activation",0.800886165742067
"CEBPA","F9",0.745249191080802,1,"activation",0.745249191080802
"CEBPA","FAS",0.822092143123556,1,"activation",0.822092143123556
"CEBPA","FASN",-0.985326185612573,1,"inhibition",0.985326185612573
"CEBPA","FGA",0.861090652075319,1,"activation",0.861090652075319
"CEBPA","FGL2",-0.116799647393935,1,"inhibition",0.116799647393935
"CEBPA","FN1",-0.0118192639068219,1,"inhibition",0.0118192639068219
"CEBPA","FOXA2",0.799967590256663,1,"activation",0.799967590256663
"CEBPA","GADD45A",0.820386745372567,1,"activation",0.820386745372567
"CEBPA","GAPDH",0.715532499070394,1,"activation",0.715532499070394
"CEBPA","GDNF",0.841680609517931,1,"activation",0.841680609517931
"CEBPA","GLS2",-0.0319932381691815,1,"inhibition",0.0319932381691815
"CEBPA","GPX4",0.871448334032837,1,"activation",0.871448334032837
"CEBPA","GSK3A",0.285513081661961,1,"activation",0.285513081661961
"CEBPA","GSK3B",0.369230079208225,1,"activation",0.369230079208225
"CEBPA","GUCY2C",0.37406808011632,1,"activation",0.37406808011632
"CEBPA","HAMP",-0.0111768357298215,1,"inhibition",0.0111768357298215
"CEBPA","HMGB1",0.868063095830057,1,"activation",0.868063095830057
"CEBPA","HNF4A",0.929799224476318,1,"activation",0.929799224476318
"CEBPA","HOMER3",0.997660061554515,1,"activation",0.997660061554515
"CEBPA","HP",0.861090652075319,1,"activation",0.861090652075319
"CEBPA","HPX",0.861090652075319,1,"activation",0.861090652075319
