"Row.names","p.value_activities.x","Non_reponder_mean.mean of x","Responder.mean of y","logFC","AveExpr","t","P.Value","adj.P.Val","B","p.value_activities.y","Responser at relapse.mean of x","Responder at Baseline.mean of y","logFC_Rel_vs_R","P.Value_Rel_vs_R"
"SUCLG2",1,0,0,-0.0771099487727218,5.79510194947532,-0.511169347871123,0.614416745602348,0.977208286870888,-4.65496581380907,1,0,0,0.0408518348661691,0.843957022290175
"SUCNR1",1,0,0,-0.364340463563707,3.21177553026316,-0.409903289115656,0.685912790061493,0.977208286870888,-4.66203183876547,1,0,0,-1.01730994391071,0.363965326605712
"SUDS3",1,0,0,1.36250526389289,2.74827696304471,1.93678105744379,0.0659586053302229,0.977208286870888,-4.42556533304214,1,0,0,1.96498883903563,0.0335813877618929
"SUFU",1,0,0,0.00145418278474985,4.8209810201553,0.0110600018434273,0.991277067056042,0.999255269795809,-4.67489356726538,1,0,0,0.0799277792353985,0.661036706651778
"SUGT1",1,0,0,-0.0495386632257457,0.89389854068364,-0.151619052585462,0.880894243145003,0.984203720197255,-4.67313105338932,1,0,0,0.0293241129349273,0.932631155196014
"SUGT1L1",1,0,0,0.224743860596035,5.08247520119898,1.02542298633703,0.316508160159408,0.977208286870888,-4.59727275422993,1,0,0,0.127131516992371,0.586998513778819
"SUGT1P1",1,0,0,-0.12953064094004,4.88586228520793,-0.64754097506627,0.524103541076883,0.977208286870888,-4.64312187692546,1,0,0,-0.108354905854512,0.699112083711067
"SULF1",1,0,0,-0.237431394067381,-0.138820095342923,-0.388505705368304,0.70144380954478,0.977208286870888,-4.66333214051537,1,0,0,-0.252083449998906,0.729215848088576
"SULF2",1,0,0,-1.75512082099886,-6.2369190821367,-2.1181465529623,0.0459114960200507,0.977208286870888,-4.38456308185278,1,0,0,0.26226147527243,0.826569556040731
"SULT1A1",1,0,0,-0.863967597872689,3.96710027636944,-0.966477071736123,0.344500181448524,0.977208286870888,-4.60560758738828,1,0,0,-0.120502175187468,0.903981764857893
"SULT1A2",1,0,0,-0.126966329685509,4.98959829959055,-0.229401281786347,0.820714776266176,0.977208286870888,-4.67085179160319,1,0,0,0.799783803000231,0.160280720718581
"SULT1A3",1,0,0,0.297588694015562,0.770864499943861,0.599430634069321,0.555120286526429,0.977208286870888,-4.64759995074908,1,0,0,0.454128832127545,0.416567625185567
"SULT1B1",1,0,0,-0.392343191663174,-2.87355111603758,-0.705202568090672,0.488217958558475,0.977208286870888,-4.63733324820968,1,0,0,0.847594073219334,0.525297744967456
"SULT1C2",1,0,0,-0.228945548271888,3.6261186918607,-0.510286308142776,0.615024864912123,0.977208286870888,-4.65503387711763,1,0,0,-0.165975105538894,0.739723210840437
"SULT1C3",1,0,0,0.672271918985193,-6.01334225633491,0.915924490809295,0.369817050275504,0.977208286870888,-4.61242208929105,1,0,0,2.42695697905025,0.00895930781810875
"SULT1C4",1,0,0,0.65603565637671,-7.26476612286076,1.69532968642331,0.104378297948474,0.977208286870888,-4.47746644098842,1,0,0,0.578742344470665,0.136697956727031
"SULT1E1",1,0,0,-2.24557060022041,-0.844382447787722,-2.64710632322102,0.0148555538503759,0.977208286870888,-4.25910236843696,1,0,0,-2.12998927998928,0.0828541013378021
"SULT2A1",1,0,0,1.15758322634714,-5.55876985714702,1.46894743008645,0.156257759720436,0.977208286870888,-4.52250938591196,1,0,0,1.44568913976957,0.290353778042945
"SULT2B1",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964,1,0,0,0.118209641013437,0.36312418464791
"SULT4A1",1,0,0,0.854596556926921,-4.64601241241994,1.19642839820072,0.244494174069642,0.977208286870888,-4.57084323102675,1,0,0,1.21409406516875,0.22930681947614
"SULT6B1",1,0,0,-0.212008588350411,-6.80795793388632,-0.339691955928052,0.737368541979768,0.977208286870888,-4.66604370157075,1,0,0,-0.453726464064201,0.53874339168304
"SUMF1",1,0,0,0.154259169150775,-0.734987184768333,0.423717294262891,0.675960570944285,0.977208286870888,-4.66115642511391,1,0,0,-0.136121513895223,0.810841686816668
"SUMF2",1,0,0,0.0992657280754994,4.92927518142361,0.40537180901428,0.689190327957216,0.977208286870888,-4.66231286743853,1,0,0,0.0969912419693557,0.765162553659968
