"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","nb_enhancer_changed"
"4020","FLAD1",2.5206261417399,2768.28940450532,1.35580913835687,0.181390907996102,0.777998974800975,-4.59167805592042,1,0,4,5,1
"4021","FLCN",-3.19428239415444,4318.77304328415,-1.56895844107333,0.123109081134394,0.740819551442795,-4.58917778949631,0,0,4,4,0
"4022","FLG",-2.28525657436931,1186.80480266997,-0.283154534151182,0.778254127068347,1,-4.59907036956979,0,0,1,1,0
"4023","FLG2",1.07949046783222,53.1653253728018,0.305580046730599,0.761222003989308,1,-4.59901288479453,0,0,1,1,0
"4024","FLI1",3.13864369385494,25574.2791589254,0.320313277675068,0.75009614268975,1,-4.59897275275615,3,0,25,28,3
"4025","FLII",-3.16744012831222,27199.2171306268,-0.553743634803096,0.582278645466565,0.967163324014166,-4.59808863315373,0,0,6,6,0
"4026","FLJ45079",-1.91720544937875,180.128274170521,-0.638043090581063,0.526423565048631,0.938867027843429,-4.59765596255,1,0,4,5,1
"4027","FLNB",4.47150527949929,29530.9553784311,3.19065498792131,0.00248036190597199,0.536267443063216,-4.5625781766433,0,0,24,24,0
"4028","FLOT1",-3.36965836157221,9601.92425869861,-1.31948474745627,0.193154263635565,0.786537995570074,-4.59207332615839,1,1,24,26,2
"4029","FLOT2",-3.32213440470959,10360.1095269617,-1.30755636520781,0.197140642020123,0.788192522224485,-4.59220110824441,1,0,7,8,1
"4030","FLRT1",0.957647593059304,46.7242466357149,0.628619507858591,0.532524766266742,0.941370135399638,-4.59770727626125,2,0,2,4,2
"4031","FLRT2",0.0233410423618615,2.12011730687175,0.481488844320929,0.632317722730096,0.984884619254463,-4.59841191336649,0,0,6,6,0
"4032","FLRT3",1.36975451578121,56.0842960877039,0.443680034582914,0.659231736764627,0.994656819004206,-4.59856342809237,0,0,6,6,0
"4033","FLT1",-1.98268542367458,110.12392154338,-2.32936451670246,0.0240160359214152,0.649071172185619,-4.57807147183112,0,1,25,26,1
"4034","FLT3LG",3.08475806789747,2071.27786209449,1.13279157216849,0.262827795855568,0.829216576105713,-4.59395602479747,0,0,4,4,0
