"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers"
"382","CDCA2",-830.990333762273,1340.86062555637,-2.02769622787327,0.0480608819077815,0.692913300211431,-4.58284333965061,5,0,24,29
"383","CDCA8",-831.708092423513,1425.59919525571,-2.071940324022,0.0435685240479195,0.680800519599776,-4.58217084840318,4,1,25,30
"384","CDK14",-1835.96070805054,2985.15381035921,-3.0387521117241,0.00380770753176703,0.55401537736098,-4.56546050215643,1,1,12,14
"385","CDO1",-11.7266638955629,10.2834009646739,-2.02147381102954,0.0487238238588629,0.69423094433746,-4.58293711634371,0,1,3,4
"386","CHN2",-478.429353417136,747.93022375944,-2.03533789978563,0.0472574317663806,0.689414246850274,-4.58272790144664,1,0,10,11
"387","CINP",-198.196786509274,1001.55062770891,-2.68101121719084,0.0099793374850717,0.579323450778156,-4.57202461660213,1,0,0,1
"388","CKAP2L",-641.108197878697,847.481973709703,-2.15338628709537,0.0362484840156233,0.670617873206242,-4.58090743050368,3,0,17,20
"389","CKS2",-799.710577946898,1471.86369730257,-2.79249478728578,0.00744462179586498,0.565705210983799,-4.57001768647846,2,0,16,18
"390","CLCN2",-365.048355293269,802.152263921893,-2.14172217803385,0.0372256960150051,0.670617873206242,-4.58109034889735,2,1,17,20
"391","CLDN10",-278.497650903124,156.63351236256,-2.20391854773683,0.0322706672018078,0.668579962021292,-4.58010752800899,1,1,1,3
"392","CLDN16",-2.63984313727333,0.949798744751822,-2.18407928224708,0.033783971569375,0.670617873206242,-4.58042300493122,0,1,9,10
"393","CNGA4",-22.9890295524306,40.6494157588311,-2.32335889724599,0.0243634977167581,0.649071172185619,-4.57817052169515,1,0,4,5
"394","COG4",-1884.89553718568,10463.7241620373,-2.33047187963904,0.0239524540108426,0.649071172185619,-4.57805319142948,1,0,22,23
"395","COL16A1",-41.5531114236158,29.9171273755928,-2.52277896847254,0.0149478194032772,0.607529672626876,-4.57480276256755,1,0,11,12
"396","COL4A2",-57.9569779530686,36.402650731334,-2.33191590530939,0.0238697678696885,0.649071172185619,-4.57802934553283,2,1,26,29
"397","COL5A3",-165.696709579759,114.844700226687,-2.38416083373867,0.0210447413875662,0.64025493504271,-4.57716069762387,0,1,3,4
"398","COMMD6",-528.271809969571,1714.02282252179,-2.52136918015627,0.0150007649497178,0.607529672626876,-4.57482711479687,1,0,17,18
"399","COPZ1",-831.664305221845,4129.4121307397,-2.46206972338476,0.0173879571533247,0.615308093686932,-4.57584465905704,1,0,1,2
"400","COX6A1",-2133.31603197349,7676.27105852582,-3.7769324946941,0.00043116969577525,0.421010018441987,-4.55112352748744,2,0,8,10
"401","COX6C",-338.653204663759,1490.60259309415,-2.06163796654625,0.0445805972369509,0.68092809478262,-4.58232832542521,2,0,0,2
