"SYMBOL","logFC","P.Value","adj.P.Val","p.value_activities","HL60","MOLM14"
"LINC02086",-0.198239807149324,0.0979069062131676,0.300440088221649,1,0,0
"LINC02088",0.248323826875716,0.0956558668333493,0.296198834626922,1,0,0
"LINC02089",0.262642818974951,0.0676582413046122,0.234403716983031,1,0,0
"LINC02091",-0.0663590653129447,0.501547542798885,0.753669928191498,1,0,0
"LINC02092",-0.0333646206837623,0.788778944449721,0.91550002875164,1,0,0
"LINC02093",0.0562349438586014,0.65806920308256,0.850189066809899,1,0,0
"LINC02097",-0.0120333135353539,0.909851648753713,0.96725519681229,1,0,0
"LINC02098",0.0470881118742073,0.692698883189644,0.868498063055923,1,0,0
"LINC02099",0.219080385936258,0.0921437385137595,0.288730689491686,1,0,0
"LINC02101",0.118801556454891,0.382146373484372,0.661710346120509,1,0,0
"LINC02102",0.0158713671910133,0.909009315670657,0.966877330548992,1,0,0
"LINC02104",0.0381225280324924,0.816431137282148,0.928568755836768,1,0,0
"LINC02105",-0.279981396244069,0.0711513200253147,0.242094195062654,1,0,0
"LINC02106",0.0646523566203747,0.527633559838853,0.771573370398953,1,0,0
"LINC02107",0.0584636752858412,0.617723558452174,0.826070239911094,1,0,0
"LINC02108",0.0278057529659108,0.823143022663034,0.931971889323358,1,0,0
"LINC02109",-0.0981404543053492,0.271278376113013,0.553573080572841,1,0,0
"LINC02111",0.0573670480750677,0.617954216994499,0.826070239911094,1,0,0
"LINC02112",-0.173811877800653,0.312502080502912,0.596724985304806,1,0,0
"LINC02113",-0.0974553997205567,0.403400226254735,0.679733184509747,1,0,0
"LINC02114",-0.039053651679942,0.773212624962706,0.908564294147928,1,0,0
"LINC02115",-0.157801828815693,0.159507697614117,0.409830541514169,1,0,0
"LINC02116",0.0849392476117474,0.475639995302867,0.736077253883547,1,0,0
"LINC02117",-0.31544813529566,0.0731261795831957,0.246865463742571,1,0,0
"LINC02119",-0.259288989064102,0.116530747749518,0.337621803852044,1,0,0
"LINC02120",0.0108123516761474,0.930792510163058,0.975566001285385,1,0,0
"LINC02122",-0.0686402625783535,0.545578075122634,0.782564463719911,1,0,0
"LINC02123",0.167428913219577,0.132881506492156,0.366572737887936,1,0,0
"LINC02125",0.0764933717695211,0.581836054286877,0.804499631880363,1,0,0
"LINC02126",0.230800143325242,0.050643710252955,0.191357562553396,1,0,0
"LINC02127",-0.11497975310956,0.247565575820253,0.52537991208211,1,0,0
"LINC02130",-0.285117502282272,0.0831076404213696,0.269845538675947,1,0,0
"LINC02134",-0.234120776985515,0.0672846025168576,0.23360614842484,1,0,0
"LINC02135",0.0584490507513244,0.638778716315132,0.837774668481797,1,0,0
"LINC02138",-0.20888536783215,0.0935449500293076,0.291587674305063,1,0,0
"LINC02139",-0.00278884006607161,0.981964447127434,0.993939849382334,1,0,0
"LINC02140",-0.404234730027837,0.0351753983587238,0.146816684682069,1,0,0
"LINC02142",-0.0218894415327799,0.840893387354241,0.939549893716472,1,0,0
"LINC02143",-0.159561628945963,0.21238416689398,0.482921560290805,1,0,0
"LINC02144",0.174037336943321,0.126612685714787,0.355964153425081,1,0,0
"LINC02145",-0.13703046756562,0.289970069486452,0.573278953379612,1,0,0
"LINC02146",-0.247421379924527,0.117530386319969,0.339344465445223,1,0,0
"LINC02147",-0.0181122036265684,0.918757700825284,0.971237557890507,1,0,0
"LINC02148",-0.0281154969651571,0.80656628796491,0.923243838983253,1,0,0
