"","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","percent_hyper","DM"
"CSTF1",11,2,68,81,13.5802469135802,13
"DANCR",11,0,26,37,29.7297297297297,11
"FBXO48",11,1,53,65,16.9230769230769,12
"GPR84",11,0,23,34,32.3529411764706,11
"HIST1H2BF",11,1,39,51,21.5686274509804,12
"HIST1H3H",11,1,55,67,16.4179104477612,12
"HIST1H4E",11,1,39,51,21.5686274509804,12
"HMMR",11,4,64,79,13.9240506329114,15
"HMX3",11,1,51,63,17.4603174603175,12
"HOXA3",11,2,24,37,29.7297297297297,13
"HOXA5",11,1,22,34,32.3529411764706,12
"HOXA6",11,1,22,34,32.3529411764706,12
"HS2ST1",11,5,64,80,13.75,16
"IFFO1",11,3,48,62,17.741935483871,14
"LBR",11,0,23,34,32.3529411764706,11
"LIN54",11,3,21,35,31.4285714285714,14
"LSG1",11,1,43,55,20,12
"MIR4449",11,0,26,37,29.7297297297297,11
"MPZL1",11,3,43,57,19.2982456140351,14
"NOP2",11,3,50,64,17.1875,14
"NUDCD2",11,4,64,79,13.9240506329114,15
"PLCG1",11,1,49,61,18.0327868852459,12
"PPID",11,8,80,99,11.1111111111111,19
"PRDM13",11,0,13,24,45.8333333333333,11
"PTPN18",11,1,61,73,15.0684931506849,12
"RHBDD2",11,0,83,94,11.7021276595745,11
"RP1-170O19.22",11,1,22,34,32.3529411764706,12
"RP1-170O19.23",11,1,22,34,32.3529411764706,12
"RP1-1J6.2",11,1,49,61,18.0327868852459,12
"RP1-34B20.4",11,1,39,51,21.5686274509804,12
"RP11-135A1.2",11,1,68,80,13.75,12
"RP11-351D16.3",11,2,60,73,15.0684931506849,13
"RP11-353N14.1",11,0,23,34,32.3529411764706,11
"RP11-541P9.3",11,1,74,86,12.7906976744186,12
"RP11-620J15.1",11,1,23,35,31.4285714285714,12
"SELK",11,0,62,73,15.0684931506849,11
"SEP15",11,5,64,80,13.75,16
"SNORA26",11,0,26,37,29.7297297297297,11
"SYNCRIP",11,7,94,112,9.82142857142857,18
"TMEM30B",11,2,35,48,22.9166666666667,13
"ZHX3",11,0,40,51,21.5686274509804,11
"ZNF385A",11,0,16,27,40.7407407407407,11
"ABCB10",10,2,27,39,25.6410256410256,12
"AC018755.1",10,1,51,62,16.1290322580645,11
"AC018755.16",10,1,51,62,16.1290322580645,11
"ACBD6",10,1,47,58,17.2413793103448,11
"ACN9",10,2,48,60,16.6666666666667,12
"ACRBP",10,3,45,58,17.2413793103448,13
"ALDH4A1",10,0,40,50,20,10
"ALG11",10,1,31,42,23.8095238095238,11
"ANKRD35",10,1,45,56,17.8571428571429,11
"ARL6IP5",10,3,72,85,11.7647058823529,13
"ATP7B",10,0,30,40,25,10
"BRSK1",10,0,38,48,20.8333333333333,10
"C15orf40",10,6,63,79,12.6582278481013,16
"C4orf45",10,3,31,44,22.7272727272727,13
"CCDC174",10,3,65,78,12.8205128205128,13
"CCDC82",10,2,44,56,17.8571428571429,12
"CD47",10,7,96,113,8.84955752212389,17
"CDK17",10,4,66,80,12.5,14
"CMIP",10,0,76,86,11.6279069767442,10
"CMPK2",10,1,60,71,14.0845070422535,11
"CTD-2186M15.3",10,0,50,60,16.6666666666667,10
"CTD-2256P15.2",10,2,118,130,7.69230769230769,12
"DBX1",10,0,11,21,47.6190476190476,10
"EGOT",10,2,58,70,14.2857142857143,12
"ELMO1",10,0,20,30,33.3333333333333,10
"ELP4",10,2,43,55,18.1818181818182,12
"FBXO33",10,9,43,62,16.1290322580645,19
"GOLPH3",10,0,50,60,16.6666666666667,10
"HELQ",10,4,25,39,25.6410256410256,14
"HES1",10,2,55,67,14.9253731343284,12
"HIF1A",10,2,84,96,10.4166666666667,12
"HIF1A-AS1",10,2,84,96,10.4166666666667,12
"HIST1H2APS4",10,1,55,66,15.1515151515152,11
"HIST1H2BI",10,1,55,66,15.1515151515152,11
"HIST1H3G",10,1,55,66,15.1515151515152,11
"HIST1H4K",10,1,63,74,13.5135135135135,11
"HOTTIP",10,3,41,54,18.5185185185185,13
